dylos,308,24,2016-09-12 13:59:42.898807
dylos,320,28,2016-09-12 14:00:41.741254
hhpc,2742,172,2016-09-12 14:00:43.905945
dylos,704,31,2016-09-12 16:39:58.496949
dylos,573,21,2016-09-12 16:41:56.230897
